source_id,target_id,relationship,weight,label,bidirectional
company_267,sector_8,OPERATES_IN,1,operates in,0
company_268,sector_6,OPERATES_IN,1,operates in,0
company_269,sector_0,OPERATES_IN,1,operates in,0
company_270,sector_0,OPERATES_IN,1,operates in,0
company_271,sector_0,OPERATES_IN,1,operates in,0
company_272,sector_0,OPERATES_IN,1,operates in,0
company_273,sector_0,OPERATES_IN,1,operates in,0
company_274,sector_0,OPERATES_IN,1,operates in,0
company_275,sector_13,OPERATES_IN,1,operates in,0
company_276,sector_0,OPERATES_IN,1,operates in,0
company_277,sector_0,OPERATES_IN,1,operates in,0
company_278,sector_0,OPERATES_IN,1,operates in,0
company_279,sector_13,OPERATES_IN,1,operates in,0
company_280,sector_0,OPERATES_IN,1,operates in,0
company_281,sector_0,OPERATES_IN,1,operates in,0
company_282,sector_0,OPERATES_IN,1,operates in,0
company_283,sector_10,OPERATES_IN,1,operates in,0
company_284,sector_10,OPERATES_IN,1,operates in,0
company_285,sector_0,OPERATES_IN,1,operates in,0
company_286,sector_0,OPERATES_IN,1,operates in,0
company_287,sector_0,OPERATES_IN,1,operates in,0
company_288,sector_12,OPERATES_IN,1,operates in,0
company_289,sector_0,OPERATES_IN,1,operates in,0
company_290,sector_12,OPERATES_IN,1,operates in,0
company_291,sector_7,OPERATES_IN,1,operates in,0
company_292,sector_12,OPERATES_IN,1,operates in,0
company_293,sector_12,OPERATES_IN,1,operates in,0
